"Title:","mx1.ams.nl - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-fra | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48423"
"Host ID:","175"
"Nth Percentile:","65262799424.8","|95:bits:0:current:2|"
"Nth Percentile:","66070361811.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-30 19:30:00","4.3321662210e+10","4.3321662210e+10","5.9519733195e+10","5.9519733195e+10"
"2020-03-30 19:35:00","4.8619752886e+10","4.8619752886e+10","5.0190553987e+10","5.0190553987e+10"
"2020-03-30 19:40:00","4.3391962602e+10","4.3391962602e+10","5.5721255227e+10","5.5721255227e+10"
"2020-03-30 19:45:00","3.7933696983e+10","3.7933696983e+10","5.6910506935e+10","5.6910506935e+10"
"2020-03-30 19:50:00","4.2776327925e+10","4.2776327925e+10","5.4977859032e+10","5.4977859032e+10"
"2020-03-30 19:55:00","3.4212919226e+10","3.4212919226e+10","4.9447793651e+10","4.9447793651e+10"
"2020-03-30 20:00:00","3.4772747955e+10","3.4772747955e+10","4.6997835077e+10","4.6997835077e+10"
"2020-03-30 20:05:00","3.2754872757e+10","3.2754872757e+10","4.4518941547e+10","4.4518941547e+10"
"2020-03-30 20:10:00","3.2719663778e+10","3.2719663778e+10","4.3577555023e+10","4.3577555023e+10"
"2020-03-30 20:15:00","3.5256040178e+10","3.5256040178e+10","4.6370938358e+10","4.6370938358e+10"
"2020-03-30 20:20:00","3.2479285547e+10","3.2479285547e+10","4.4027580131e+10","4.4027580131e+10"
"2020-03-30 20:25:00","3.4583275876e+10","3.4583275876e+10","3.9594853516e+10","3.9594853516e+10"
"2020-03-30 20:30:00","3.0311418526e+10","3.0311418526e+10","4.2487274154e+10","4.2487274154e+10"
"2020-03-30 20:35:00","4.1076680116e+10","4.1076680116e+10","4.4270558811e+10","4.4270558811e+10"
"2020-03-30 20:40:00","3.5658061377e+10","3.5658061377e+10","4.2609997493e+10","4.2609997493e+10"
"2020-03-30 20:45:00","3.8078911758e+10","3.8078911758e+10","4.2077322529e+10","4.2077322529e+10"
"2020-03-30 20:50:00","3.5623451247e+10","3.5623451247e+10","3.7990063753e+10","3.7990063753e+10"
"2020-03-30 20:55:00","3.7372795023e+10","3.7372795023e+10","3.9295481394e+10","3.9295481394e+10"
"2020-03-30 21:00:00","3.7276675703e+10","3.7276675703e+10","3.8247539169e+10","3.8247539169e+10"
"2020-03-30 21:05:00","3.7465879618e+10","3.7465879618e+10","3.9098780063e+10","3.9098780063e+10"
"2020-03-30 21:10:00","3.6264511403e+10","3.6264511403e+10","3.9881003549e+10","3.9881003549e+10"
"2020-03-30 21:15:00","3.3612464843e+10","3.3612464843e+10","3.7577082586e+10","3.7577082586e+10"
"2020-03-30 21:20:00","3.9537652530e+10","3.9537652530e+10","4.0032710070e+10","4.0032710070e+10"
"2020-03-30 21:25:00","3.6519815691e+10","3.6519815691e+10","4.1454217161e+10","4.1454217161e+10"
"2020-03-30 21:30:00","3.8603873299e+10","3.8603873299e+10","4.3756195919e+10","4.3756195919e+10"
"2020-03-30 21:35:00","3.8789649737e+10","3.8789649737e+10","4.0574222010e+10","4.0574222010e+10"
"2020-03-30 21:40:00","4.6994095609e+10","4.6994095609e+10","3.9363075301e+10","3.9363075301e+10"
"2020-03-30 21:45:00","5.0005089750e+10","5.0005089750e+10","3.6173378085e+10","3.6173378085e+10"
"2020-03-30 21:50:00","5.2155297683e+10","5.2155297683e+10","3.9003312117e+10","3.9003312117e+10"
"2020-03-30 21:55:00","4.3196334824e+10","4.3196334824e+10","3.8583910822e+10","3.8583910822e+10"
"2020-03-30 22:00:00","5.1698779808e+10","5.1698779808e+10","3.5105415614e+10","3.5105415614e+10"
"2020-03-30 22:05:00","5.0927050417e+10","5.0927050417e+10","3.2143443120e+10","3.2143443120e+10"
"2020-03-30 22:10:00","5.6593682283e+10","5.6593682283e+10","3.1702750579e+10","3.1702750579e+10"
"2020-03-30 22:15:00","5.6448007513e+10","5.6448007513e+10","3.1780006050e+10","3.1780006050e+10"
"2020-03-30 22:20:00","5.6180147180e+10","5.6180147180e+10","3.1021922580e+10","3.1021922580e+10"
"2020-03-30 22:25:00","6.3013728689e+10","6.3013728689e+10","3.1216298607e+10","3.1216298607e+10"
"2020-03-30 22:30:00","6.4087192805e+10","6.4087192805e+10","3.3068445210e+10","3.3068445210e+10"
"2020-03-30 22:35:00","6.0295786760e+10","6.0295786760e+10","3.3016461290e+10","3.3016461290e+10"
"2020-03-30 22:40:00","6.5262799425e+10","6.5262799425e+10","3.4717239054e+10","3.4717239054e+10"
"2020-03-30 22:45:00","6.4532100282e+10","6.4532100282e+10","3.6186152474e+10","3.6186152474e+10"
"2020-03-30 22:50:00","6.5760358085e+10","6.5760358085e+10","3.8468994460e+10","3.8468994460e+10"
"2020-03-30 22:55:00","6.5073527626e+10","6.5073527626e+10","3.6850923562e+10","3.6850923562e+10"
"2020-03-30 23:00:00","6.8672501582e+10","6.8672501582e+10","3.6295358516e+10","3.6295358516e+10"
"2020-03-30 23:05:00","6.7893716688e+10","6.7893716688e+10","5.0915113885e+10","5.0915113885e+10"
"2020-03-30 23:10:00","7.0073018209e+10","7.0073018209e+10","5.0631188706e+10","5.0631188706e+10"
"2020-03-30 23:15:00","5.7982130614e+10","5.7982130614e+10","4.7325506065e+10","4.7325506065e+10"
"2020-03-30 23:20:00","5.7549044409e+10","5.7549044409e+10","4.8561528547e+10","4.8561528547e+10"
"2020-03-30 23:25:00","5.7547596220e+10","5.7547596220e+10","4.2627519099e+10","4.2627519099e+10"
"2020-03-30 23:30:00","6.0775822041e+10","6.0775822041e+10","4.8417218461e+10","4.8417218461e+10"
"2020-03-30 23:35:00","6.8118376871e+10","6.8118376871e+10","4.8289727409e+10","4.8289727409e+10"
"2020-03-30 23:40:00","7.3084027281e+10","7.3084027281e+10","4.9575160936e+10","4.9575160936e+10"
"2020-03-30 23:45:00","6.4940850575e+10","6.4940850575e+10","4.3605762291e+10","4.3605762291e+10"
"2020-03-30 23:50:00","6.5520268854e+10","6.5520268854e+10","4.0840375456e+10","4.0840375456e+10"
"2020-03-30 23:55:00","8.3225694644e+10","8.3225694644e+10","5.6621646010e+10","5.6621646010e+10"
"2020-03-31 00:00:00","7.7304538688e+10","7.7304538688e+10","4.8401979031e+10","4.8401979031e+10"
"2020-03-31 00:05:00","7.1540662175e+10","7.1540662175e+10","4.4235888858e+10","4.4235888858e+10"
"2020-03-31 00:10:00","6.9931839638e+10","6.9931839638e+10","4.4110135188e+10","4.4110135188e+10"
"2020-03-31 00:15:00","6.6874244721e+10","6.6874244721e+10","4.8327480191e+10","4.8327480191e+10"
"2020-03-31 00:20:00","6.7336188859e+10","6.7336188859e+10","4.7348871087e+10","4.7348871087e+10"
"2020-03-31 00:25:00","6.0988275980e+10","6.0988275980e+10","3.7120771845e+10","3.7120771845e+10"
"2020-03-31 00:30:00","6.7527408542e+10","6.7527408542e+10","3.2980973930e+10","3.2980973930e+10"
"2020-03-31 00:35:00","6.7997696373e+10","6.7997696373e+10","3.8138135781e+10","3.8138135781e+10"
"2020-03-31 00:40:00","6.3662013986e+10","6.3662013986e+10","3.8246666946e+10","3.8246666946e+10"
"2020-03-31 00:45:00","6.4163719967e+10","6.4163719967e+10","3.7319307402e+10","3.7319307402e+10"
"2020-03-31 00:50:00","6.1504678390e+10","6.1504678390e+10","3.5068293414e+10","3.5068293414e+10"
"2020-03-31 00:55:00","5.6859290826e+10","5.6859290826e+10","4.7187826790e+10","4.7187826790e+10"
"2020-03-31 01:00:00","4.8613701289e+10","4.8613701289e+10","4.0365258521e+10","4.0365258521e+10"
