DATE,UIFR,UIFR_peak,FRUI,FRUI_peak
2020-03-15 00:15:00,3.0758198941e+10,3.0758198941e+10,3.6305648949e+10,3.6305648949e+10
2020-03-15 00:20:00,4.6722243549e+10,4.6722243549e+10,3.4690187497e+10,3.4690187497e+10
2020-03-15 00:25:00,3.2667460377e+10,3.2667460377e+10,2.3885918779e+10,2.3885918779e+10
2020-03-15 00:30:00,3.9931079772e+10,3.9931079772e+10,3.9070365760e+10,3.9070365760e+10
2020-03-15 00:35:00,7.6538065187e+10,7.6538065187e+10,3.2769365989e+10,3.2769365989e+10
2020-03-15 00:40:00,5.6753985797e+10,5.6753985797e+10,4.5705314232e+10,4.5705314232e+10
2020-03-15 00:45:00,3.8260404303e+10,3.8260404303e+10,5.1661103998e+10,5.1661103998e+10
2020-03-15 00:50:00,3.9403499128e+10,3.9403499128e+10,4.4906921669e+10,4.4906921669e+10
2020-03-15 00:55:00,3.7415057922e+10,3.7415057922e+10,3.8767742482e+10,3.8767742482e+10
2020-03-15 01:00:00,2.6023457025e+10,2.6023457025e+10,4.3621036650e+10,4.3621036650e+10
2020-03-15 01:05:00,3.4322181369e+10,3.4322181369e+10,2.8389713445e+10,2.8389713445e+10
2020-03-15 01:10:00,2.5889493640e+10,2.5889493640e+10,2.8315001797e+10,2.8315001797e+10
2020-03-15 01:15:00,3.4064122208e+10,3.4064122208e+10,2.8052825109e+10,2.8052825109e+10
2020-03-15 01:20:00,3.3913115953e+10,3.3913115953e+10,2.4630824977e+10,2.4630824977e+10
2020-03-15 01:25:00,4.5436080382e+10,4.5436080382e+10,2.6360908141e+10,2.6360908141e+10
2020-03-15 01:30:00,2.9673763738e+10,2.9673763738e+10,3.1958840885e+10,3.1958840885e+10
2020-03-15 01:35:00,2.7920493872e+10,2.7920493872e+10,4.2416155689e+10,4.2416155689e+10
2020-03-15 01:40:00,4.4501814458e+10,4.4501814458e+10,3.9743610240e+10,3.9743610240e+10
2020-03-15 01:45:00,2.7149159862e+10,2.7149159862e+10,4.1132996491e+10,4.1132996491e+10
2020-03-15 01:50:00,3.4020747922e+10,3.4020747922e+10,4.5612316466e+10,4.5612316466e+10
2020-03-15 01:55:00,3.4690083699e+10,3.4690083699e+10,3.1476225076e+10,3.1476225076e+10
2020-03-15 02:00:00,3.3784643960e+10,3.3784643960e+10,3.2637138661e+10,3.2637138661e+10
2020-03-15 02:05:00,2.5916627603e+10,2.5916627603e+10,2.8077440392e+10,2.8077440392e+10
2020-03-15 02:10:00,3.6381547194e+10,3.6381547194e+10,4.2396690813e+10,4.2396690813e+10
2020-03-15 02:15:00,3.5224649356e+10,3.5224649356e+10,3.7208811026e+10,3.7208811026e+10
2020-03-15 02:20:00,4.0027292879e+10,4.0027292879e+10,4.0590760246e+10,4.0590760246e+10
2020-03-15 02:25:00,4.1168437859e+10,4.1168437859e+10,2.8846377128e+10,2.8846377128e+10
2020-03-15 02:30:00,3.7056022988e+10,3.7056022988e+10,3.3108626560e+10,3.3108626560e+10
2020-03-15 02:35:00,3.1305673082e+10,3.1305673082e+10,3.8104268357e+10,3.8104268357e+10
2020-03-15 02:40:00,3.4875964840e+10,3.4875964840e+10,2.8743507166e+10,2.8743507166e+10
2020-03-15 02:45:00,3.3651710527e+10,3.3651710527e+10,3.6876613715e+10,3.6876613715e+10
2020-03-15 02:50:00,3.0928322420e+10,3.0928322420e+10,4.4341357587e+10,4.4341357587e+10
2020-03-15 02:55:00,2.8750133310e+10,2.8750133310e+10,4.0076386231e+10,4.0076386231e+10
2020-03-15 03:00:00,2.4916766103e+10,2.4916766103e+10,3.0346529556e+10,3.0346529556e+10
2020-03-15 03:05:00,2.5127278058e+10,2.5127278058e+10,2.1835826211e+10,2.1835826211e+10
2020-03-15 03:10:00,2.8583255225e+10,2.8583255225e+10,2.8223765058e+10,2.8223765058e+10
2020-03-15 03:15:00,2.7169724587e+10,2.7169724587e+10,2.1136373085e+10,2.1136373085e+10
2020-03-15 03:20:00,2.8341430217e+10,2.8341430217e+10,2.4508647893e+10,2.4508647893e+10
2020-03-15 03:25:00,2.2854319954e+10,2.2854319954e+10,3.2906846788e+10,3.2906846788e+10
2020-03-15 03:30:00,2.4005580938e+10,2.4005580938e+10,2.3651858966e+10,2.3651858966e+10
2020-03-15 03:35:00,6.1573179834e+10,6.1573179834e+10,3.5777278993e+10,3.5777278993e+10
2020-03-15 03:40:00,2.5981431206e+10,2.5981431206e+10,2.6038140064e+10,2.6038140064e+10
2020-03-15 03:45:00,2.1862843589e+10,2.1862843589e+10,2.6188179185e+10,2.6188179185e+10
2020-03-15 03:50:00,2.4273152037e+10,2.4273152037e+10,2.3390639451e+10,2.3390639451e+10
2020-03-15 03:55:00,2.0633003357e+10,2.0633003357e+10,2.4521512139e+10,2.4521512139e+10
2020-03-15 04:00:00,2.1759231763e+10,2.1759231763e+10,2.3853428888e+10,2.3853428888e+10
2020-03-15 04:05:00,2.1165010595e+10,2.1165010595e+10,1.9419974250e+10,1.9419974250e+10
2020-03-15 04:10:00,2.4505526675e+10,2.4505526675e+10,2.8431559488e+10,2.8431559488e+10
2020-03-15 04:15:00,1.7750191000e+10,1.7750191000e+10,2.6490551398e+10,2.6490551398e+10
2020-03-15 04:20:00,1.9672072419e+10,1.9672072419e+10,2.8183224283e+10,2.8183224283e+10
2020-03-15 04:25:00,2.1644365543e+10,2.1644365543e+10,2.8901004011e+10,2.8901004011e+10
2020-03-15 04:30:00,2.4793117196e+10,2.4793117196e+10,3.1311785874e+10,3.1311785874e+10
2020-03-15 04:35:00,2.5327963656e+10,2.5327963656e+10,4.2193643773e+10,4.2193643773e+10
2020-03-15 04:40:00,2.3383343687e+10,2.3383343687e+10,2.8837131089e+10,2.8837131089e+10
2020-03-15 04:45:00,2.0648708788e+10,2.0648708788e+10,2.7518321629e+10,2.7518321629e+10
2020-03-15 04:50:00,2.3952764155e+10,2.3952764155e+10,2.7593501117e+10,2.7593501117e+10
2020-03-15 04:55:00,3.1029171754e+10,3.1029171754e+10,2.4593093555e+10,2.4593093555e+10
2020-03-15 05:00:00,6.8545355352e+10,6.8545355352e+10,3.3947494237e+10,3.3947494237e+10
2020-03-15 05:05:00,2.3608683167e+10,2.3608683167e+10,2.2232513311e+10,2.2232513311e+10
2020-03-15 05:10:00,2.6101017328e+10,2.6101017328e+10,2.5443410084e+10,2.5443410084e+10
2020-03-15 05:15:00,2.3832661428e+10,2.3832661428e+10,3.2607975319e+10,3.2607975319e+10
2020-03-15 05:20:00,2.1995614779e+10,2.1995614779e+10,2.8620153622e+10,2.8620153622e+10
2020-03-15 05:25:00,1.8548411006e+10,1.8548411006e+10,2.7701304130e+10,2.7701304130e+10
2020-03-15 05:30:00,2.4979906523e+10,2.4979906523e+10,3.0129022023e+10,3.0129022023e+10
2020-03-15 05:35:00,2.3650935019e+10,2.3650935019e+10,2.7266885305e+10,2.7266885305e+10
2020-03-15 05:40:00,2.7177116249e+10,2.7177116249e+10,3.1127638190e+10,3.1127638190e+10
2020-03-15 05:45:00,7.8965081357e+10,7.8965081357e+10,4.1787331268e+10,4.1787331268e+10
2020-03-15 05:50:00,2.9737520074e+10,2.9737520074e+10,5.3096917716e+10,5.3096917716e+10
2020-03-15 05:55:00,2.9183583381e+10,2.9183583381e+10,3.6326189301e+10,3.6326189301e+10
2020-03-15 06:00:00,2.8656475488e+10,2.8656475488e+10,2.8333956295e+10,2.8333956295e+10
2020-03-15 06:05:00,2.9593157492e+10,2.9593157492e+10,2.7984987398e+10,2.7984987398e+10
2020-03-15 06:10:00,3.1329342577e+10,3.1329342577e+10,2.7283166542e+10,2.7283166542e+10
2020-03-15 06:15:00,2.9655406434e+10,2.9655406434e+10,3.3356372019e+10,3.3356372019e+10
2020-03-15 06:20:00,3.2483991105e+10,3.2483991105e+10,4.3181084396e+10,4.3181084396e+10
2020-03-15 06:25:00,3.2651356516e+10,3.2651356516e+10,3.3814597512e+10,3.3814597512e+10
2020-03-15 06:30:00,3.1956626471e+10,3.1956626471e+10,3.7541868870e+10,3.7541868870e+10
2020-03-15 06:35:00,5.9967766224e+10,5.9967766224e+10,2.6896694395e+10,2.6896694395e+10
2020-03-15 06:40:00,2.9084457509e+10,2.9084457509e+10,4.2399815782e+10,4.2399815782e+10
2020-03-15 06:45:00,3.6259911458e+10,3.6259911458e+10,4.0599802610e+10,4.0599802610e+10
2020-03-15 06:50:00,4.2665287381e+10,4.2665287381e+10,2.8629210104e+10,2.8629210104e+10
2020-03-15 06:55:00,3.7908041657e+10,3.7908041657e+10,2.8479182444e+10,2.8479182444e+10
2020-03-15 07:00:00,3.1807427015e+10,3.1807427015e+10,2.1462147584e+10,2.1462147584e+10
2020-03-15 07:05:00,2.5672516499e+10,2.5672516499e+10,2.1199007087e+10,2.1199007087e+10
2020-03-15 07:10:00,2.5020681288e+10,2.5020681288e+10,2.4069093568e+10,2.4069093568e+10
2020-03-15 07:15:00,1.8902371079e+10,1.8902371079e+10,2.2455268782e+10,2.2455268782e+10
2020-03-15 07:20:00,2.0456611187e+10,2.0456611187e+10,2.0532613493e+10,2.0532613493e+10
2020-03-15 07:25:00,2.3229599094e+10,2.3229599094e+10,2.6290411151e+10,2.6290411151e+10
2020-03-15 07:30:00,2.4452280622e+10,2.4452280622e+10,1.7332615515e+10,1.7332615515e+10
2020-03-15 07:35:00,3.7719592964e+10,3.7719592964e+10,2.1876906865e+10,2.1876906865e+10
2020-03-15 07:40:00,4.4485325048e+10,4.4485325048e+10,2.8246687791e+10,2.8246687791e+10
2020-03-15 07:45:00,2.1669233353e+10,2.1669233353e+10,2.6735806682e+10,2.6735806682e+10
2020-03-15 07:50:00,2.4696509256e+10,2.4696509256e+10,2.5860326385e+10,2.5860326385e+10
2020-03-15 07:55:00,4.4255239294e+10,4.4255239294e+10,3.4558235903e+10,3.4558235903e+10
2020-03-15 08:00:00,3.4757980520e+10,3.4757980520e+10,3.0788327759e+10,3.0788327759e+10
2020-03-15 08:05:00,3.1411424245e+10,3.1411424245e+10,3.1012902391e+10,3.1012902391e+10
2020-03-15 08:10:00,3.0385541519e+10,3.0385541519e+10,2.6474499487e+10,2.6474499487e+10
2020-03-15 08:15:00,2.8071484577e+10,2.8071484577e+10,1.8665978170e+10,1.8665978170e+10
2020-03-15 08:20:00,2.6278670501e+10,2.6278670501e+10,2.0243410393e+10,2.0243410393e+10
2020-03-15 08:25:00,2.4853538908e+10,2.4853538908e+10,2.9093915630e+10,2.9093915630e+10
2020-03-15 08:30:00,1.8818464588e+10,1.8818464588e+10,1.9433294454e+10,1.9433294454e+10
2020-03-15 08:35:00,2.3604280040e+10,2.3604280040e+10,1.9640359014e+10,1.9640359014e+10
2020-03-15 08:40:00,2.1873893526e+10,2.1873893526e+10,2.0857632310e+10,2.0857632310e+10
2020-03-15 08:45:00,3.5408956231e+10,3.5408956231e+10,1.9969886512e+10,1.9969886512e+10
2020-03-15 08:50:00,2.2112419697e+10,2.2112419697e+10,2.1134336154e+10,2.1134336154e+10
2020-03-15 08:55:00,2.0445905881e+10,2.0445905881e+10,1.9386297355e+10,1.9386297355e+10
2020-03-15 09:00:00,4.0706885435e+10,4.0706885435e+10,2.2338008629e+10,2.2338008629e+10
2020-03-15 09:05:00,3.1686189674e+10,3.1686189674e+10,2.4204238064e+10,2.4204238064e+10
2020-03-15 09:10:00,2.4011691412e+10,2.4011691412e+10,3.2549769398e+10,3.2549769398e+10
2020-03-15 09:15:00,2.8487606703e+10,2.8487606703e+10,3.1661248945e+10,3.1661248945e+10
2020-03-15 09:20:00,3.2622785931e+10,3.2622785931e+10,2.6179042769e+10,2.6179042769e+10
2020-03-15 09:25:00,2.0927370842e+10,2.0927370842e+10,2.7919550333e+10,2.7919550333e+10
2020-03-15 09:30:00,1.9376552260e+10,1.9376552260e+10,3.4504331181e+10,3.4504331181e+10
2020-03-15 09:35:00,3.1741812045e+10,3.1741812045e+10,3.7266077028e+10,3.7266077028e+10
2020-03-15 09:40:00,2.6617399202e+10,2.6617399202e+10,2.9467531895e+10,2.9467531895e+10
2020-03-15 09:45:00,2.5022040702e+10,2.5022040702e+10,3.6713761539e+10,3.6713761539e+10
2020-03-15 09:50:00,3.0512199707e+10,3.0512199707e+10,3.2764044324e+10,3.2764044324e+10
2020-03-15 09:55:00,4.7296085720e+10,4.7296085720e+10,2.3702582038e+10,2.3702582038e+10
2020-03-15 10:00:00,3.6453134015e+10,3.6453134015e+10,2.2144031084e+10,2.2144031084e+10
2020-03-15 10:05:00,1.9187455411e+10,1.9187455411e+10,2.4299680881e+10,2.4299680881e+10
2020-03-15 10:10:00,3.9245089200e+10,3.9245089200e+10,2.8034102880e+10,2.8034102880e+10
2020-03-15 10:15:00,2.9339475568e+10,2.9339475568e+10,2.4524702995e+10,2.4524702995e+10
2020-03-15 10:20:00,1.8674559418e+10,1.8674559418e+10,3.2467816546e+10,3.2467816546e+10
2020-03-15 10:25:00,2.8982916901e+10,2.8982916901e+10,3.6381253961e+10,3.6381253961e+10
2020-03-15 10:30:00,3.0552413818e+10,3.0552413818e+10,3.2720314547e+10,3.2720314547e+10
2020-03-15 10:35:00,2.6314242440e+10,2.6314242440e+10,2.5728450533e+10,2.5728450533e+10
2020-03-15 10:40:00,2.2618725248e+10,2.2618725248e+10,2.1489203523e+10,2.1489203523e+10
2020-03-15 10:45:00,1.9732067671e+10,1.9732067671e+10,1.7455471848e+10,1.7455471848e+10
2020-03-15 10:50:00,2.4260664674e+10,2.4260664674e+10,2.1387178542e+10,2.1387178542e+10
2020-03-15 10:55:00,5.4521268482e+10,5.4521268482e+10,1.9302318873e+10,1.9302318873e+10
2020-03-15 11:00:00,5.5168950147e+10,5.5168950147e+10,1.8078263203e+10,1.8078263203e+10
2020-03-15 11:05:00,2.5537027611e+10,2.5537027611e+10,2.6570031137e+10,2.6570031137e+10
2020-03-15 11:10:00,2.2583978306e+10,2.2583978306e+10,2.5504388412e+10,2.5504388412e+10
2020-03-15 11:15:00,3.4418694451e+10,3.4418694451e+10,2.0278499935e+10,2.0278499935e+10
2020-03-15 11:20:00,1.7003715844e+10,1.7003715844e+10,1.6081112676e+10,1.6081112676e+10
2020-03-15 11:25:00,1.6304418109e+10,1.6304418109e+10,2.7155207374e+10,2.7155207374e+10
2020-03-15 11:30:00,2.3355945067e+10,2.3355945067e+10,2.6345401005e+10,2.6345401005e+10
2020-03-15 11:35:00,2.2928392569e+10,2.2928392569e+10,2.0695698624e+10,2.0695698624e+10
2020-03-15 11:40:00,2.0633202158e+10,2.0633202158e+10,1.6055966039e+10,1.6055966039e+10
2020-03-15 11:45:00,2.0027464045e+10,2.0027464045e+10,2.0348265029e+10,2.0348265029e+10
2020-03-15 11:50:00,1.4321037953e+10,1.4321037953e+10,2.4189455118e+10,2.4189455118e+10
2020-03-15 11:55:00,1.7800361193e+10,1.7800361193e+10,1.6648021011e+10,1.6648021011e+10
2020-03-15 12:00:00,2.5748943776e+10,2.5748943776e+10,1.8667668641e+10,1.8667668641e+10
2020-03-15 12:05:00,2.0918701332e+10,2.0918701332e+10,2.9780757264e+10,2.9780757264e+10
2020-03-15 12:10:00,2.2525625965e+10,2.2525625965e+10,2.1065878268e+10,2.1065878268e+10
2020-03-15 12:15:00,2.1665956428e+10,2.1665956428e+10,2.0608721397e+10,2.0608721397e+10
2020-03-15 12:20:00,3.1604703146e+10,3.1604703146e+10,2.5678263333e+10,2.5678263333e+10
2020-03-15 12:25:00,1.7833857208e+10,1.7833857208e+10,2.0110539059e+10,2.0110539059e+10
2020-03-15 12:30:00,1.9774975622e+10,1.9774975622e+10,2.6710310433e+10,2.6710310433e+10
2020-03-15 12:35:00,4.1139232172e+10,4.1139232172e+10,2.7800380062e+10,2.7800380062e+10
2020-03-15 12:40:00,2.8679517802e+10,2.8679517802e+10,3.0954544261e+10,3.0954544261e+10
2020-03-15 12:45:00,2.8720320961e+10,2.8720320961e+10,3.0214805911e+10,3.0214805911e+10
2020-03-15 12:50:00,2.2093013239e+10,2.2093013239e+10,3.6243036306e+10,3.6243036306e+10
2020-03-15 12:55:00,2.6907591017e+10,2.6907591017e+10,2.0069351153e+10,2.0069351153e+10
2020-03-15 13:00:00,2.4710055579e+10,2.4710055579e+10,3.0105366909e+10,3.0105366909e+10
2020-03-15 13:05:00,1.9662894802e+10,1.9662894802e+10,2.4712167425e+10,2.4712167425e+10
2020-03-15 13:10:00,2.9116122428e+10,2.9116122428e+10,2.7067772417e+10,2.7067772417e+10
2020-03-15 13:15:00,3.0864671124e+10,3.0864671124e+10,2.9446095990e+10,2.9446095990e+10
2020-03-15 13:20:00,2.5511633471e+10,2.5511633471e+10,2.7852284766e+10,2.7852284766e+10
2020-03-15 13:25:00,2.0711206479e+10,2.0711206479e+10,2.9459951260e+10,2.9459951260e+10
2020-03-15 13:30:00,1.9046195476e+10,1.9046195476e+10,2.9753317624e+10,2.9753317624e+10
2020-03-15 13:35:00,2.0107668250e+10,2.0107668250e+10,3.1698893658e+10,3.1698893658e+10
2020-03-15 13:40:00,4.0679405501e+10,4.0679405501e+10,2.7256333579e+10,2.7256333579e+10
2020-03-15 13:45:00,2.8703448520e+10,2.8703448520e+10,2.8724712340e+10,2.8724712340e+10
2020-03-15 13:50:00,2.6423233842e+10,2.6423233842e+10,2.3614637544e+10,2.3614637544e+10
2020-03-15 13:55:00,3.9970098482e+10,3.9970098482e+10,2.3104615333e+10,2.3104615333e+10
2020-03-15 14:00:00,3.2754708044e+10,3.2754708044e+10,2.3756996413e+10,2.3756996413e+10
2020-03-15 14:05:00,3.2565085011e+10,3.2565085011e+10,2.4246720519e+10,2.4246720519e+10
2020-03-15 14:10:00,3.0963242783e+10,3.0963242783e+10,2.6476456112e+10,2.6476456112e+10
2020-03-15 14:15:00,2.6654710302e+10,2.6654710302e+10,3.4848506564e+10,3.4848506564e+10
2020-03-15 14:20:00,2.5828406574e+10,2.5828406574e+10,2.2313748971e+10,2.2313748971e+10
2020-03-15 14:25:00,2.1810783254e+10,2.1810783254e+10,2.4441844668e+10,2.4441844668e+10
2020-03-15 14:30:00,2.6498409010e+10,2.6498409010e+10,3.8612773325e+10,3.8612773325e+10
2020-03-15 14:35:00,3.5753696215e+10,3.5753696215e+10,4.0896197375e+10,4.0896197375e+10
2020-03-15 14:40:00,2.1521586260e+10,2.1521586260e+10,3.4477902353e+10,3.4477902353e+10
2020-03-15 14:45:00,3.9516422367e+10,3.9516422367e+10,3.7577939503e+10,3.7577939503e+10
2020-03-15 14:50:00,2.5536104989e+10,2.5536104989e+10,2.6855119469e+10,2.6855119469e+10
2020-03-15 14:55:00,2.3318039464e+10,2.3318039464e+10,2.2886046372e+10,2.2886046372e+10
2020-03-15 15:00:00,3.9483843212e+10,3.9483843212e+10,2.1694088569e+10,2.1694088569e+10
2020-03-15 15:05:00,2.2869229772e+10,2.2869229772e+10,2.3940187522e+10,2.3940187522e+10
2020-03-15 15:10:00,2.2261107027e+10,2.2261107027e+10,2.2678814934e+10,2.2678814934e+10
2020-03-15 15:15:00,2.0935122880e+10,2.0935122880e+10,2.6676999961e+10,2.6676999961e+10
2020-03-15 15:20:00,3.4343916733e+10,3.4343916733e+10,2.4842009834e+10,2.4842009834e+10
2020-03-15 15:25:00,2.2648425626e+10,2.2648425626e+10,1.9644002016e+10,1.9644002016e+10
2020-03-15 15:30:00,2.6172114019e+10,2.6172114019e+10,2.1219528403e+10,2.1219528403e+10
2020-03-15 15:35:00,2.4484241096e+10,2.4484241096e+10,2.1953273006e+10,2.1953273006e+10
2020-03-15 15:40:00,2.3729071526e+10,2.3729071526e+10,2.1399883216e+10,2.1399883216e+10
2020-03-15 15:45:00,2.3539046512e+10,2.3539046512e+10,1.8702655076e+10,1.8702655076e+10
2020-03-15 15:50:00,2.6328285449e+10,2.6328285449e+10,2.4588856258e+10,2.4588856258e+10
2020-03-15 15:55:00,2.6827122394e+10,2.6827122394e+10,2.2894695916e+10,2.2894695916e+10
2020-03-15 16:00:00,3.0943263775e+10,3.0943263775e+10,2.1890045998e+10,2.1890045998e+10
2020-03-15 16:05:00,2.5650937208e+10,2.5650937208e+10,2.4935843592e+10,2.4935843592e+10
2020-03-15 16:10:00,2.8945996949e+10,2.8945996949e+10,2.2666826029e+10,2.2666826029e+10
2020-03-15 16:15:00,2.0218085038e+10,2.0218085038e+10,2.6577481293e+10,2.6577481293e+10
2020-03-15 16:20:00,2.3981102234e+10,2.3981102234e+10,2.5861097611e+10,2.5861097611e+10
2020-03-15 16:25:00,3.0192739950e+10,3.0192739950e+10,3.5601652184e+10,3.5601652184e+10
2020-03-15 16:30:00,4.0490273197e+10,4.0490273197e+10,3.1572778639e+10,3.1572778639e+10
2020-03-15 16:35:00,3.3994005798e+10,3.3994005798e+10,2.7033588980e+10,2.7033588980e+10
2020-03-15 16:40:00,3.0589929985e+10,3.0589929985e+10,3.1640009374e+10,3.1640009374e+10
2020-03-15 16:45:00,2.2225151902e+10,2.2225151902e+10,2.9720123545e+10,2.9720123545e+10
2020-03-15 16:50:00,2.0873797270e+10,2.0873797270e+10,3.0632616255e+10,3.0632616255e+10
2020-03-15 16:55:00,3.1236593703e+10,3.1236593703e+10,3.8180345155e+10,3.8180345155e+10
2020-03-15 17:00:00,3.2193460662e+10,3.2193460662e+10,3.0550555212e+10,3.0550555212e+10
2020-03-15 17:05:00,2.4362382765e+10,2.4362382765e+10,3.2324195762e+10,3.2324195762e+10
2020-03-15 17:10:00,3.9824677251e+10,3.9824677251e+10,2.6163999624e+10,2.6163999624e+10
2020-03-15 17:15:00,4.8570853558e+10,4.8570853558e+10,3.1066794807e+10,3.1066794807e+10
2020-03-15 17:20:00,2.4383322035e+10,2.4383322035e+10,3.3017468898e+10,3.3017468898e+10
2020-03-15 17:25:00,2.1605936594e+10,2.1605936594e+10,2.5022643578e+10,2.5022643578e+10
2020-03-15 17:30:00,1.9621675725e+10,1.9621675725e+10,2.7310888023e+10,2.7310888023e+10
2020-03-15 17:35:00,2.3486542025e+10,2.3486542025e+10,1.8328625160e+10,1.8328625160e+10
2020-03-15 17:40:00,2.7006799827e+10,2.7006799827e+10,1.9803674562e+10,1.9803674562e+10
2020-03-15 17:45:00,2.4371201541e+10,2.4371201541e+10,1.8430720620e+10,1.8430720620e+10
2020-03-15 17:50:00,2.1702466587e+10,2.1702466587e+10,2.4987246857e+10,2.4987246857e+10
2020-03-15 17:55:00,1.8882259385e+10,1.8882259385e+10,2.5476214414e+10,2.5476214414e+10
2020-03-15 18:00:00,3.2814374414e+10,3.2814374414e+10,2.8064926843e+10,2.8064926843e+10
2020-03-15 18:05:00,1.6559630513e+10,1.6559630513e+10,2.6170639922e+10,2.6170639922e+10
2020-03-15 18:10:00,1.8110298025e+10,1.8110298025e+10,2.4954438933e+10,2.4954438933e+10
2020-03-15 18:15:00,2.8314044850e+10,2.8314044850e+10,2.5669479595e+10,2.5669479595e+10
2020-03-15 18:20:00,3.1059836348e+10,3.1059836348e+10,3.0585527360e+10,3.0585527360e+10
2020-03-15 18:25:00,1.8790819062e+10,1.8790819062e+10,2.2679884292e+10,2.2679884292e+10
2020-03-15 18:30:00,1.9668515608e+10,1.9668515608e+10,2.4034244462e+10,2.4034244462e+10
2020-03-15 18:35:00,2.5944630403e+10,2.5944630403e+10,2.6864569815e+10,2.6864569815e+10
2020-03-15 18:40:00,1.7112642614e+10,1.7112642614e+10,2.2084152470e+10,2.2084152470e+10
2020-03-15 18:45:00,2.0315111266e+10,2.0315111266e+10,2.6647907808e+10,2.6647907808e+10
2020-03-15 18:50:00,1.8699664371e+10,1.8699664371e+10,3.1251448145e+10,3.1251448145e+10
2020-03-15 18:55:00,1.8028335669e+10,1.8028335669e+10,3.4966384049e+10,3.4966384049e+10
2020-03-15 19:00:00,2.1561282735e+10,2.1561282735e+10,2.9464384416e+10,2.9464384416e+10
2020-03-15 19:05:00,2.0451826482e+10,2.0451826482e+10,2.6604527288e+10,2.6604527288e+10
2020-03-15 19:10:00,1.7931045998e+10,1.7931045998e+10,3.0526895307e+10,3.0526895307e+10
2020-03-15 19:15:00,2.4244229516e+10,2.4244229516e+10,3.0216833273e+10,3.0216833273e+10
2020-03-15 19:20:00,2.8871989209e+10,2.8871989209e+10,3.7651553064e+10,3.7651553064e+10
2020-03-15 19:25:00,2.6881315716e+10,2.6881315716e+10,4.3690853004e+10,4.3690853004e+10
2020-03-15 19:30:00,2.2058630759e+10,2.2058630759e+10,3.5846044518e+10,3.5846044518e+10
2020-03-15 19:35:00,1.9600251857e+10,1.9600251857e+10,3.9916624229e+10,3.9916624229e+10
2020-03-15 19:40:00,2.6726861227e+10,2.6726861227e+10,4.1157705441e+10,4.1157705441e+10
2020-03-15 19:45:00,2.5661645154e+10,2.5661645154e+10,3.6394811340e+10,3.6394811340e+10
2020-03-15 19:50:00,2.3260555477e+10,2.3260555477e+10,4.0397241813e+10,4.0397241813e+10
2020-03-15 19:55:00,3.2814451986e+10,3.2814451986e+10,3.1547618959e+10,3.1547618959e+10
