DATE,ROBG,ROBG_peak,BGRO,BGRO_peak
2020-03-15 01:25:00,4.6058115653e+09,4.6058115653e+09,1.6682642038e+09,1.6682642038e+09
2020-03-15 01:30:00,4.0348013086e+09,4.0348013086e+09,2.0800069789e+09,2.0800069789e+09
2020-03-15 01:35:00,5.4381704441e+09,5.4381704441e+09,1.8486546152e+09,1.8486546152e+09
2020-03-15 01:40:00,1.2353148775e+10,1.2353148775e+10,1.9603986182e+09,1.9603986182e+09
2020-03-15 01:45:00,1.1676864466e+10,1.1676864466e+10,1.5676110371e+09,1.5676110371e+09
2020-03-15 01:50:00,9.1977378751e+09,9.1977378751e+09,1.6854969917e+09,1.6854969917e+09
2020-03-15 01:55:00,7.9683926853e+09,7.9683926853e+09,1.8043248762e+09,1.8043248762e+09
2020-03-15 02:00:00,6.5436848608e+09,6.5436848608e+09,1.3017820266e+09,1.3017820266e+09
2020-03-15 02:05:00,5.6822996874e+09,5.6822996874e+09,9.3761268534e+08,9.3761268534e+08
2020-03-15 02:10:00,7.7777520674e+09,7.7777520674e+09,2.8875252117e+09,2.8875252117e+09
2020-03-15 02:15:00,1.0127454210e+10,1.0127454210e+10,1.6093718819e+09,1.6093718819e+09
2020-03-15 02:20:00,8.2228863758e+09,8.2228863758e+09,1.3230401095e+09,1.3230401095e+09
2020-03-15 02:25:00,1.2980824719e+10,1.2980824719e+10,1.2649609585e+09,1.2649609585e+09
2020-03-15 02:30:00,1.6003436249e+10,1.6003436249e+10,1.0985593250e+09,1.0985593250e+09
2020-03-15 02:35:00,1.3250441608e+10,1.3250441608e+10,1.0228535113e+09,1.0228535113e+09
2020-03-15 02:40:00,1.6885680631e+10,1.6885680631e+10,1.4852443799e+09,1.4852443799e+09
2020-03-15 02:45:00,1.2330997385e+10,1.2330997385e+10,1.0192934743e+09,1.0192934743e+09
2020-03-15 02:50:00,9.9585843154e+09,9.9585843154e+09,1.0634051653e+09,1.0634051653e+09
2020-03-15 02:55:00,1.0075200339e+10,1.0075200339e+10,8.3632840373e+08,8.3632840373e+08
2020-03-15 03:00:00,1.1309027763e+10,1.1309027763e+10,1.3325843486e+09,1.3325843486e+09
2020-03-15 03:05:00,1.2014606025e+10,1.2014606025e+10,1.4485340687e+09,1.4485340687e+09
2020-03-15 03:10:00,1.4342489154e+10,1.4342489154e+10,1.4082793720e+09,1.4082793720e+09
2020-03-15 03:15:00,1.2297970278e+10,1.2297970278e+10,1.2954615594e+09,1.2954615594e+09
2020-03-15 03:20:00,1.1136885080e+10,1.1136885080e+10,7.7281956040e+09,7.7281956040e+09
2020-03-15 03:25:00,1.1370418715e+10,1.1370418715e+10,2.5096991678e+09,2.5096991678e+09
2020-03-15 03:30:00,8.4074118470e+09,8.4074118470e+09,1.6050211945e+09,1.6050211945e+09
2020-03-15 03:35:00,7.3780581779e+09,7.3780581779e+09,1.4439492880e+09,1.4439492880e+09
2020-03-15 03:40:00,7.7909932212e+09,7.7909932212e+09,1.4314232746e+09,1.4314232746e+09
2020-03-15 03:45:00,8.7364134054e+09,8.7364134054e+09,4.5724101105e+09,4.5724101105e+09
2020-03-15 03:50:00,7.3527656972e+09,7.3527656972e+09,3.7450346092e+09,3.7450346092e+09
2020-03-15 03:55:00,7.0564280406e+09,7.0564280406e+09,2.2430930813e+09,2.2430930813e+09
2020-03-15 04:00:00,8.1141565318e+09,8.1141565318e+09,1.3612704369e+09,1.3612704369e+09
2020-03-15 04:05:00,8.7946263075e+09,8.7946263075e+09,1.2636640124e+09,1.2636640124e+09
2020-03-15 04:10:00,1.0121838387e+10,1.0121838387e+10,7.2466263777e+08,7.2466263777e+08
2020-03-15 04:15:00,1.0405118688e+10,1.0405118688e+10,6.2775519660e+08,6.2775519660e+08
2020-03-15 04:20:00,7.5255299319e+09,7.5255299319e+09,5.2237741164e+08,5.2237741164e+08
2020-03-15 04:25:00,7.2334783592e+09,7.2334783592e+09,8.8507668950e+08,8.8507668950e+08
2020-03-15 04:30:00,7.7872418326e+09,7.7872418326e+09,1.2739026206e+09,1.2739026206e+09
2020-03-15 04:35:00,7.6410337842e+09,7.6410337842e+09,1.0258155743e+09,1.0258155743e+09
2020-03-15 04:40:00,8.8666154550e+09,8.8666154550e+09,8.3290593520e+08,8.3290593520e+08
2020-03-15 04:45:00,1.0310152383e+10,1.0310152383e+10,8.5620423334e+08,8.5620423334e+08
2020-03-15 04:50:00,1.1078212083e+10,1.1078212083e+10,1.0485451282e+09,1.0485451282e+09
2020-03-15 04:55:00,1.1727771343e+10,1.1727771343e+10,1.0214438610e+09,1.0214438610e+09
2020-03-15 05:00:00,1.1520133817e+10,1.1520133817e+10,6.4993823365e+08,6.4993823365e+08
2020-03-15 05:05:00,1.0236917860e+10,1.0236917860e+10,9.9101004389e+08,9.9101004389e+08
2020-03-15 05:10:00,1.0725758037e+10,1.0725758037e+10,6.8451314089e+08,6.8451314089e+08
2020-03-15 05:15:00,1.0373891064e+10,1.0373891064e+10,8.7110484387e+08,8.7110484387e+08
2020-03-15 05:20:00,1.0898244840e+10,1.0898244840e+10,1.0969185646e+09,1.0969185646e+09
2020-03-15 05:25:00,1.0369882968e+10,1.0369882968e+10,1.0775053290e+09,1.0775053290e+09
2020-03-15 05:30:00,1.0328808708e+10,1.0328808708e+10,9.5613702888e+08,9.5613702888e+08
2020-03-15 05:35:00,9.5920456831e+09,9.5920456831e+09,1.5085983106e+09,1.5085983106e+09
2020-03-15 05:40:00,8.1966560019e+09,8.1966560019e+09,2.5715066788e+09,2.5715066788e+09
2020-03-15 05:45:00,9.2909712290e+09,9.2909712290e+09,2.3194308542e+09,2.3194308542e+09
2020-03-15 05:50:00,9.7343716198e+09,9.7343716198e+09,3.1700997818e+09,3.1700997818e+09
2020-03-15 05:55:00,1.0047605379e+10,1.0047605379e+10,2.9922166786e+09,2.9922166786e+09
2020-03-15 06:00:00,8.6247560511e+09,8.6247560511e+09,2.1009717851e+09,2.1009717851e+09
2020-03-15 06:05:00,8.5126575409e+09,8.5126575409e+09,1.3899769498e+09,1.3899769498e+09
2020-03-15 06:10:00,1.0763118593e+10,1.0763118593e+10,1.0262377923e+09,1.0262377923e+09
2020-03-15 06:15:00,9.8127959640e+09,9.8127959640e+09,8.7822628651e+08,8.7822628651e+08
2020-03-15 06:20:00,1.0331398601e+10,1.0331398601e+10,9.9892531904e+08,9.9892531904e+08
2020-03-15 06:25:00,1.1689108162e+10,1.1689108162e+10,1.2165066201e+09,1.2165066201e+09
2020-03-15 06:30:00,1.1541193644e+10,1.1541193644e+10,8.6031213231e+08,8.6031213231e+08
2020-03-15 06:35:00,1.2214036376e+10,1.2214036376e+10,9.4677664690e+08,9.4677664690e+08
2020-03-15 06:40:00,1.1155820924e+10,1.1155820924e+10,1.3375487267e+09,1.3375487267e+09
2020-03-15 06:45:00,9.0341658374e+09,9.0341658374e+09,1.1512895421e+09,1.1512895421e+09
2020-03-15 06:50:00,9.2957432245e+09,9.2957432245e+09,1.2036799642e+09,1.2036799642e+09
2020-03-15 06:55:00,8.9337738895e+09,8.9337738895e+09,1.1613468870e+09,1.1613468870e+09
2020-03-15 07:00:00,9.5764892284e+09,9.5764892284e+09,1.0028996638e+09,1.0028996638e+09
2020-03-15 07:05:00,9.2904017759e+09,9.2904017759e+09,1.0820040043e+09,1.0820040043e+09
2020-03-15 07:10:00,8.1847070484e+09,8.1847070484e+09,1.3901591995e+09,1.3901591995e+09
2020-03-15 07:15:00,7.0934198428e+09,7.0934198428e+09,1.3787317721e+09,1.3787317721e+09
2020-03-15 07:20:00,6.9732959874e+09,6.9732959874e+09,1.4303938305e+09,1.4303938305e+09
2020-03-15 07:25:00,5.7716044378e+09,5.7716044378e+09,1.2573820560e+09,1.2573820560e+09
2020-03-15 07:30:00,6.4376174194e+09,6.4376174194e+09,2.1521351704e+09,2.1521351704e+09
2020-03-15 07:35:00,5.1999710189e+09,5.1999710189e+09,1.6943056902e+09,1.6943056902e+09
2020-03-15 07:40:00,3.7868220801e+09,3.7868220801e+09,1.2912664845e+09,1.2912664845e+09
2020-03-15 07:45:00,2.6761664380e+09,2.6761664380e+09,1.8502296917e+09,1.8502296917e+09
2020-03-15 07:50:00,2.4852578363e+09,2.4852578363e+09,2.1347047210e+09,2.1347047210e+09
2020-03-15 07:55:00,2.3915858119e+09,2.3915858119e+09,1.3598186970e+09,1.3598186970e+09
2020-03-15 08:00:00,2.3062695364e+09,2.3062695364e+09,1.3823688950e+09,1.3823688950e+09
2020-03-15 08:05:00,2.2926020819e+09,2.2926020819e+09,2.2682029591e+09,2.2682029591e+09
2020-03-15 08:10:00,2.1671494198e+09,2.1671494198e+09,2.8129682666e+09,2.8129682666e+09
2020-03-15 08:15:00,2.1706690431e+09,2.1706690431e+09,2.9160070794e+09,2.9160070794e+09
2020-03-15 08:20:00,2.2840496402e+09,2.2840496402e+09,1.5844668899e+09,1.5844668899e+09
2020-03-15 08:25:00,2.5611094800e+09,2.5611094800e+09,9.0374938475e+08,9.0374938475e+08
2020-03-15 08:30:00,4.3224648086e+09,4.3224648086e+09,6.0826851628e+08,6.0826851628e+08
2020-03-15 08:35:00,6.1087347032e+09,6.1087347032e+09,6.2965452631e+08,6.2965452631e+08
2020-03-15 08:40:00,5.8924041092e+09,5.8924041092e+09,8.1193802768e+08,8.1193802768e+08
2020-03-15 08:45:00,6.2031877492e+09,6.2031877492e+09,1.3247195185e+09,1.3247195185e+09
2020-03-15 08:50:00,6.4648623357e+09,6.4648623357e+09,1.0806083879e+09,1.0806083879e+09
2020-03-15 08:55:00,1.0496245701e+10,1.0496245701e+10,1.3477459130e+09,1.3477459130e+09
2020-03-15 09:00:00,7.8000430133e+09,7.8000430133e+09,1.3910028393e+09,1.3910028393e+09
2020-03-15 09:05:00,7.1348728565e+09,7.1348728565e+09,1.2378401720e+09,1.2378401720e+09
2020-03-15 09:10:00,7.4509812339e+09,7.4509812339e+09,7.8391555491e+08,7.8391555491e+08
2020-03-15 09:15:00,8.8226520328e+09,8.8226520328e+09,1.1147047716e+09,1.1147047716e+09
2020-03-15 09:20:00,7.8520702325e+09,7.8520702325e+09,8.3581271668e+08,8.3581271668e+08
2020-03-15 09:25:00,7.6726564275e+09,7.6726564275e+09,1.1228921254e+09,1.1228921254e+09
2020-03-15 09:30:00,8.0631949596e+09,8.0631949596e+09,8.0304318548e+08,8.0304318548e+08
2020-03-15 09:35:00,1.1877521533e+10,1.1877521533e+10,1.2243078783e+09,1.2243078783e+09
2020-03-15 09:40:00,7.2560885546e+09,7.2560885546e+09,9.3290260075e+08,9.3290260075e+08
2020-03-15 09:45:00,9.6561146885e+09,9.6561146885e+09,9.9764867989e+08,9.9764867989e+08
2020-03-15 09:50:00,7.8552353866e+09,7.8552353866e+09,1.2858841439e+09,1.2858841439e+09
2020-03-15 09:55:00,7.5019972550e+09,7.5019972550e+09,8.8543814872e+08,8.8543814872e+08
2020-03-15 10:00:00,8.2873635522e+09,8.2873635522e+09,8.4666205125e+08,8.4666205125e+08
2020-03-15 10:05:00,8.7405123639e+09,8.7405123639e+09,1.0762087747e+09,1.0762087747e+09
2020-03-15 10:10:00,7.3833083382e+09,7.3833083382e+09,9.7234557183e+08,9.7234557183e+08
2020-03-15 10:15:00,8.1904691254e+09,8.1904691254e+09,1.1937383945e+09,1.1937383945e+09
2020-03-15 10:20:00,8.8360110014e+09,8.8360110014e+09,1.0176508714e+09,1.0176508714e+09
2020-03-15 10:25:00,7.0083112964e+09,7.0083112964e+09,1.4636465502e+09,1.4636465502e+09
2020-03-15 10:30:00,6.1124523943e+09,6.1124523943e+09,1.5293813496e+09,1.5293813496e+09
2020-03-15 10:35:00,6.3536512957e+09,6.3536512957e+09,9.4027874235e+08,9.4027874235e+08
2020-03-15 10:40:00,6.2744612276e+09,6.2744612276e+09,1.0655249538e+09,1.0655249538e+09
2020-03-15 10:45:00,5.9495872175e+09,5.9495872175e+09,1.0281995316e+09,1.0281995316e+09
2020-03-15 10:50:00,6.1064159180e+09,6.1064159180e+09,1.1398226779e+09,1.1398226779e+09
2020-03-15 10:55:00,6.9679634022e+09,6.9679634022e+09,9.4630370976e+08,9.4630370976e+08
2020-03-15 11:00:00,9.0902090097e+09,9.0902090097e+09,1.0882602448e+09,1.0882602448e+09
2020-03-15 11:05:00,7.6284655185e+09,7.6284655185e+09,1.2237078757e+09,1.2237078757e+09
2020-03-15 11:10:00,9.7251088172e+09,9.7251088172e+09,1.0720468019e+09,1.0720468019e+09
2020-03-15 11:15:00,8.8038003355e+09,8.8038003355e+09,1.0332364209e+09,1.0332364209e+09
2020-03-15 11:20:00,8.4960490066e+09,8.4960490066e+09,1.0482007184e+09,1.0482007184e+09
2020-03-15 11:25:00,7.7852469117e+09,7.7852469117e+09,1.8257012820e+09,1.8257012820e+09
2020-03-15 11:30:00,8.1400476466e+09,8.1400476466e+09,1.6961829763e+09,1.6961829763e+09
2020-03-15 11:35:00,9.8644012172e+09,9.8644012172e+09,1.6978967654e+09,1.6978967654e+09
2020-03-15 11:40:00,9.1081507679e+09,9.1081507679e+09,1.8533586854e+09,1.8533586854e+09
2020-03-15 11:45:00,8.7247781522e+09,8.7247781522e+09,1.6618888607e+09,1.6618888607e+09
2020-03-15 11:50:00,8.8192178256e+09,8.8192178256e+09,1.2812850950e+09,1.2812850950e+09
2020-03-15 11:55:00,8.7120284332e+09,8.7120284332e+09,1.1623620216e+09,1.1623620216e+09
2020-03-15 12:00:00,8.4338701506e+09,8.4338701506e+09,1.0573801387e+09,1.0573801387e+09
2020-03-15 12:05:00,8.3982947586e+09,8.3982947586e+09,1.8967919136e+09,1.8967919136e+09
2020-03-15 12:10:00,9.1699234353e+09,9.1699234353e+09,2.2314465246e+09,2.2314465246e+09
2020-03-15 12:15:00,9.8527067423e+09,9.8527067423e+09,2.4092136291e+09,2.4092136291e+09
2020-03-15 12:20:00,1.2082893040e+10,1.2082893040e+10,2.1045843671e+09,2.1045843671e+09
2020-03-15 12:25:00,1.3178304446e+10,1.3178304446e+10,2.1534357863e+09,2.1534357863e+09
2020-03-15 12:30:00,1.3231312648e+10,1.3231312648e+10,1.4719847862e+09,1.4719847862e+09
2020-03-15 12:35:00,1.1507040125e+10,1.1507040125e+10,2.0318972384e+09,2.0318972384e+09
2020-03-15 12:40:00,9.5116254855e+09,9.5116254855e+09,2.7527529796e+09,2.7527529796e+09
2020-03-15 12:45:00,9.7005191209e+09,9.7005191209e+09,1.6962686764e+09,1.6962686764e+09
2020-03-15 12:50:00,9.7758603857e+09,9.7758603857e+09,1.7854389132e+09,1.7854389132e+09
2020-03-15 12:55:00,9.5203519424e+09,9.5203519424e+09,1.9966559739e+09,1.9966559739e+09
2020-03-15 13:00:00,8.9085562106e+09,8.9085562106e+09,1.8442346852e+09,1.8442346852e+09
2020-03-15 13:05:00,1.1004944489e+10,1.1004944489e+10,1.7132317353e+09,1.7132317353e+09
2020-03-15 13:10:00,1.1369040465e+10,1.1369040465e+10,1.7580303216e+09,1.7580303216e+09
2020-03-15 13:15:00,1.1112225777e+10,1.1112225777e+10,1.8121280881e+09,1.8121280881e+09
2020-03-15 13:20:00,1.2670876498e+10,1.2670876498e+10,2.0373708017e+09,2.0373708017e+09
2020-03-15 13:25:00,1.0661889351e+10,1.0661889351e+10,1.4645215485e+09,1.4645215485e+09
2020-03-15 13:30:00,1.0613484248e+10,1.0613484248e+10,1.8532970913e+09,1.8532970913e+09
2020-03-15 13:35:00,1.0934504318e+10,1.0934504318e+10,1.9346538549e+09,1.9346538549e+09
2020-03-15 13:40:00,1.0042133653e+10,1.0042133653e+10,2.1727862708e+09,2.1727862708e+09
2020-03-15 13:45:00,1.0550842710e+10,1.0550842710e+10,2.6766940189e+09,2.6766940189e+09
2020-03-15 13:50:00,1.1530199857e+10,1.1530199857e+10,3.0188860687e+09,3.0188860687e+09
2020-03-15 13:55:00,1.1021732483e+10,1.1021732483e+10,4.6996457032e+09,4.6996457032e+09
2020-03-15 14:00:00,1.1708506296e+10,1.1708506296e+10,4.1913732131e+09,4.1913732131e+09
2020-03-15 14:05:00,1.1253038575e+10,1.1253038575e+10,2.2860967838e+09,2.2860967838e+09
2020-03-15 14:10:00,9.9319248299e+09,9.9319248299e+09,1.8653018128e+09,1.8653018128e+09
2020-03-15 14:15:00,1.0238822979e+10,1.0238822979e+10,1.9782288263e+09,1.9782288263e+09
2020-03-15 14:20:00,1.0001172069e+10,1.0001172069e+10,1.9648576708e+09,1.9648576708e+09
2020-03-15 14:25:00,1.0112027218e+10,1.0112027218e+10,1.8946479813e+09,1.8946479813e+09
2020-03-15 14:30:00,1.0005201035e+10,1.0005201035e+10,1.8678680196e+09,1.8678680196e+09
2020-03-15 14:35:00,9.9291241011e+09,9.9291241011e+09,2.2061172837e+09,2.2061172837e+09
2020-03-15 14:40:00,1.2358480769e+10,1.2358480769e+10,2.4723334982e+09,2.4723334982e+09
2020-03-15 14:45:00,1.4804377307e+10,1.4804377307e+10,2.3452984680e+09,2.3452984680e+09
2020-03-15 14:50:00,1.4363630481e+10,1.4363630481e+10,2.6795557443e+09,2.6795557443e+09
2020-03-15 14:55:00,1.2235780432e+10,1.2235780432e+10,2.7116332167e+09,2.7116332167e+09
2020-03-15 15:00:00,1.2944715087e+10,1.2944715087e+10,2.6166924612e+09,2.6166924612e+09
2020-03-15 15:05:00,1.3805183734e+10,1.3805183734e+10,2.9140240024e+09,2.9140240024e+09
2020-03-15 15:10:00,1.4906848888e+10,1.4906848888e+10,2.5559622484e+09,2.5559622484e+09
2020-03-15 15:15:00,1.5704033798e+10,1.5704033798e+10,2.6766196449e+09,2.6766196449e+09
2020-03-15 15:20:00,1.5412286001e+10,1.5412286001e+10,2.6376487246e+09,2.6376487246e+09
2020-03-15 15:25:00,1.5407205813e+10,1.5407205813e+10,2.4540080338e+09,2.4540080338e+09
2020-03-15 15:30:00,1.5374957979e+10,1.5374957979e+10,2.3527179324e+09,2.3527179324e+09
2020-03-15 15:35:00,1.3996607263e+10,1.3996607263e+10,2.6210647886e+09,2.6210647886e+09
2020-03-15 15:40:00,1.3035527644e+10,1.3035527644e+10,2.4036623551e+09,2.4036623551e+09
2020-03-15 15:45:00,1.2026191647e+10,1.2026191647e+10,3.2510999192e+09,3.2510999192e+09
2020-03-15 15:50:00,1.1110255958e+10,1.1110255958e+10,7.0737000397e+09,7.0737000397e+09
2020-03-15 15:55:00,1.1445318928e+10,1.1445318928e+10,8.5261563544e+09,8.5261563544e+09
2020-03-15 16:00:00,1.1136677992e+10,1.1136677992e+10,8.3678874006e+09,8.3678874006e+09
2020-03-15 16:05:00,1.0331635669e+10,1.0331635669e+10,7.5214102598e+09,7.5214102598e+09
2020-03-15 16:10:00,1.0425691500e+10,1.0425691500e+10,6.9968879491e+09,6.9968879491e+09
2020-03-15 16:15:00,1.0935258439e+10,1.0935258439e+10,6.9800528901e+09,6.9800528901e+09
2020-03-15 16:20:00,1.2278853129e+10,1.2278853129e+10,8.2236927723e+09,8.2236927723e+09
2020-03-15 16:25:00,1.2949946934e+10,1.2949946934e+10,8.3419840795e+09,8.3419840795e+09
2020-03-15 16:30:00,1.5220817589e+10,1.5220817589e+10,8.7169222731e+09,8.7169222731e+09
2020-03-15 16:35:00,1.8750511876e+10,1.8750511876e+10,7.4676873579e+09,7.4676873579e+09
2020-03-15 16:40:00,1.6720636295e+10,1.6720636295e+10,7.0195604028e+09,7.0195604028e+09
2020-03-15 16:45:00,1.3297968020e+10,1.3297968020e+10,6.7565568673e+09,6.7565568673e+09
2020-03-15 16:50:00,2.8966271434e+10,2.8966271434e+10,5.8012081507e+09,5.8012081507e+09
2020-03-15 16:55:00,2.5611136732e+10,2.5611136732e+10,3.8457899407e+09,3.8457899407e+09
2020-03-15 17:00:00,1.9243956705e+10,1.9243956705e+10,2.8213561882e+09,2.8213561882e+09
2020-03-15 17:05:00,1.8186321880e+10,1.8186321880e+10,2.0795938016e+09,2.0795938016e+09
2020-03-15 17:10:00,2.7216988099e+10,2.7216988099e+10,2.3966430409e+09,2.3966430409e+09
2020-03-15 17:15:00,2.3612252219e+10,2.3612252219e+10,2.0851708234e+09,2.0851708234e+09
2020-03-15 17:20:00,1.8483541890e+10,1.8483541890e+10,2.1197538294e+09,2.1197538294e+09
2020-03-15 17:25:00,1.6351680050e+10,1.6351680050e+10,1.9740061461e+09,1.9740061461e+09
2020-03-15 17:30:00,1.5265343983e+10,1.5265343983e+10,2.0676055188e+09,2.0676055188e+09
2020-03-15 17:35:00,1.6420159142e+10,1.6420159142e+10,1.9298390759e+09,1.9298390759e+09
2020-03-15 17:40:00,1.5282036930e+10,1.5282036930e+10,1.6310083211e+09,1.6310083211e+09
2020-03-15 17:45:00,1.5003064211e+10,1.5003064211e+10,1.9889109266e+09,1.9889109266e+09
2020-03-15 17:50:00,1.4609384686e+10,1.4609384686e+10,2.0780611072e+09,2.0780611072e+09
2020-03-15 17:55:00,1.5364672276e+10,1.5364672276e+10,1.8165882966e+09,1.8165882966e+09
2020-03-15 18:00:00,1.7657742518e+10,1.7657742518e+10,1.9190859988e+09,1.9190859988e+09
2020-03-15 18:05:00,1.7640047419e+10,1.7640047419e+10,1.9348290533e+09,1.9348290533e+09
2020-03-15 18:10:00,1.5692452451e+10,1.5692452451e+10,1.9781295415e+09,1.9781295415e+09
2020-03-15 18:15:00,1.6425960946e+10,1.6425960946e+10,1.9855519978e+09,1.9855519978e+09
2020-03-15 18:20:00,1.4504727437e+10,1.4504727437e+10,1.9945670058e+09,1.9945670058e+09
2020-03-15 18:25:00,1.4657767670e+10,1.4657767670e+10,2.1608860086e+09,2.1608860086e+09
2020-03-15 18:30:00,1.7227864078e+10,1.7227864078e+10,1.9963579024e+09,1.9963579024e+09
2020-03-15 18:35:00,1.7542005860e+10,1.7542005860e+10,2.2425404169e+09,2.2425404169e+09
2020-03-15 18:40:00,1.9977433731e+10,1.9977433731e+10,2.7641265859e+09,2.7641265859e+09
2020-03-15 18:45:00,1.9806334540e+10,1.9806334540e+10,2.7294113901e+09,2.7294113901e+09
2020-03-15 18:50:00,2.2753406042e+10,2.2753406042e+10,2.6407166613e+09,2.6407166613e+09
2020-03-15 18:55:00,2.1873060300e+10,2.1873060300e+10,3.2283118276e+09,3.2283118276e+09
2020-03-15 19:00:00,1.8373784463e+10,1.8373784463e+10,3.6481076376e+09,3.6481076376e+09
2020-03-15 19:05:00,1.8310185122e+10,1.8310185122e+10,3.5995075114e+09,3.5995075114e+09
2020-03-15 19:10:00,1.4431019991e+10,1.4431019991e+10,2.4717829150e+09,2.4717829150e+09
2020-03-15 19:15:00,1.3166540402e+10,1.3166540402e+10,1.9627073343e+09,1.9627073343e+09
2020-03-15 19:20:00,1.2677836170e+10,1.2677836170e+10,2.9835967921e+09,2.9835967921e+09
2020-03-15 19:25:00,1.3094030748e+10,1.3094030748e+10,3.1232460485e+09,3.1232460485e+09
2020-03-15 19:30:00,1.1253709065e+10,1.1253709065e+10,3.2045936091e+09,3.2045936091e+09
2020-03-15 19:35:00,1.1940724006e+10,1.1940724006e+10,3.8399227721e+09,3.8399227721e+09
2020-03-15 19:40:00,1.5149778536e+10,1.5149778536e+10,4.1845055264e+09,4.1845055264e+09
2020-03-15 19:45:00,1.5250248901e+10,1.5250248901e+10,5.2691531599e+09,5.2691531599e+09
2020-03-15 19:50:00,1.5985943502e+10,1.5985943502e+10,3.9198796233e+09,3.9198796233e+09
2020-03-15 19:55:00,1.6467218841e+10,1.6467218841e+10,4.3761880665e+09,4.3761880665e+09
